,program,input_size,real_time,cpu_time,energy,cycles,instructions
0,sobel_sequential,512,0.00566,0.00566,0.12524,41532270.000000,74064593.000000
1,sobel_sequential,512,0.00552,0.00552,0.08838,39418657.000000,73958370.000000
2,sobel_sequential,512,0.00559,0.00558,0.08679,39318281.000000,73998828.000000
3,sobel_sequential,512,0.00539,0.00539,0.07367,42132496.000000,73985466.000000
4,sobel_sequential,512,0.00549,0.00549,0.08667,41923972.000000,74010433.000000
5,sobel_sequential,512,0.00543,0.00543,0.07165,38018427.000000,73950356.000000
6,sobel_sequential,512,0.0053,0.00526,0.08398,38377992.000000,74037826.000000
7,sobel_sequential,512,0.00555,0.00553,0.07275,38052977.000000,74001944.000000
8,sobel_sequential,512,0.00534,0.0053,0.07611,37804402.000000,73985461.000000
9,sobel_sequential,512,0.00547,0.00547,0.08563,37910471.000000,74026931.000000
10,sobel_sequential,512,0.00552,0.0055,0.08508,39674080.000000,74020378.000000
11,sobel_sequential,512,0.00551,0.00547,0.08875,39776096.000000,74032780.000000
12,sobel_sequential,512,0.00549,0.00548,0.07373,37952053.000000,73953010.000000
13,sobel_sequential,512,0.0055,0.0055,0.07367,37888783.000000,73936441.000000
14,sobel_sequential,512,0.00549,0.00549,0.08569,37967534.000000,74013963.000000
15,sobel_sequential,512,0.00553,0.00552,0.08734,39756642.000000,74037756.000000
16,sobel_sequential,512,0.00547,0.00547,0.08368,39681247.000000,74000601.000000
17,sobel_sequential,512,0.00547,0.00546,0.08563,39503612.000000,74017556.000000
18,sobel_sequential,512,0.00543,0.00542,0.07342,42045479.000000,73968032.000000
19,sobel_sequential,512,0.00549,0.00547,0.08807,37865135.000000,73969456.000000
20,sobel_sequential,1024,0.02097,0.02097,0.32849,149388773.000000,287649706.000000
21,sobel_sequential,1024,0.0206,0.0206,0.35504,143327681.000000,287660432.000000
22,sobel_sequential,1024,0.02011,0.02011,0.33563,146535864.000000,287404850.000000
23,sobel_sequential,1024,0.02095,0.02095,0.31097,142270334.000000,287391897.000000
24,sobel_sequential,1024,0.02141,0.02141,0.39886,143176276.000000,287411130.000000
25,sobel_sequential,1024,0.02143,0.02142,0.31354,143207807.000000,287413416.000000
26,sobel_sequential,1024,0.02021,0.02019,0.33581,145670513.000000,287383245.000000
27,sobel_sequential,1024,0.02022,0.02022,0.32172,149069790.000000,287400520.000000
28,sobel_sequential,1024,0.02076,0.02075,0.35486,143354869.000000,287387796.000000
29,sobel_sequential,1024,0.02134,0.02133,0.34924,142779010.000000,287651124.000000
30,sobel_sequential,1024,0.02076,0.02076,0.35535,142471588.000000,287299971.000000
31,sobel_sequential,1024,0.02155,0.02154,0.32196,142299681.000000,287399343.000000
32,sobel_sequential,1024,0.02028,0.02027,0.32214,144380986.000000,287388125.000000
33,sobel_sequential,1024,0.02038,0.02038,0.30737,146506385.000000,287444328.000000
34,sobel_sequential,1024,0.02099,0.02099,0.35016,142480086.000000,287412468.000000
35,sobel_sequential,1024,0.02206,0.02204,0.42456,142901096.000000,287451230.000000
36,sobel_sequential,1024,0.02033,0.02033,0.31933,142949889.000000,287391916.000000
37,sobel_sequential,1024,0.02012,0.02012,0.32794,144512112.000000,287406099.000000
38,sobel_sequential,1024,0.02296,0.02295,0.41363,155457468.000000,287391195.000000
39,sobel_sequential,1024,0.02036,0.02036,0.35425,142437180.000000,287403462.000000
40,sobel_sequential,2048,0.08461,0.08456,1.53143,568682446.000000,1141995974.000000
41,sobel_sequential,2048,0.08134,0.08134,1.3919,560995558.000000,1141363860.000000
42,sobel_sequential,2048,0.07935,0.07933,1.37341,561921703.000000,1141824852.000000
43,sobel_sequential,2048,0.07942,0.0794,1.35803,560460033.000000,1140739754.000000
44,sobel_sequential,2048,0.07997,0.07995,1.37707,569232959.000000,1141875953.000000
45,sobel_sequential,2048,0.08023,0.0802,1.3421,559303204.000000,1140755226.000000
46,sobel_sequential,2048,0.08186,0.08186,1.36969,561672649.000000,1140783724.000000
47,sobel_sequential,2048,0.08096,0.08092,1.39148,563856967.000000,1141521060.000000
48,sobel_sequential,2048,0.07992,0.07992,1.36676,564038881.000000,1140725826.000000
49,sobel_sequential,2048,0.08165,0.08163,1.33764,563645708.000000,1141564034.000000
50,sobel_sequential,2048,0.09483,0.09481,1.14184,561123416.000000,1141333507.000000
51,sobel_sequential,2048,0.10584,0.1058,0.88171,558570030.000000,1141010003.000000
52,sobel_sequential,2048,0.1058,0.1058,0.89416,564251711.000000,1141112847.000000
53,sobel_sequential,2048,0.10599,0.1058,0.86072,561071314.000000,1141337883.000000
54,sobel_sequential,2048,0.10612,0.1061,0.8775,559737123.000000,1141530613.000000
55,sobel_sequential,2048,0.1059,0.10588,0.87451,559191624.000000,1141321236.000000
56,sobel_sequential,2048,0.1057,0.10569,1.04657,559141610.000000,1141125968.000000
57,sobel_sequential,2048,0.10577,0.10573,0.88403,561361381.000000,1141514747.000000
58,sobel_sequential,2048,0.10608,0.10606,0.86883,569324230.000000,1141358674.000000
59,sobel_sequential,2048,0.10597,0.10595,0.86572,560646114.000000,1141484732.000000
60,sobel_sequential,4096,0.42525,0.42502,3.65154,2235723777.000000,4559263844.000000
61,sobel_sequential,4096,0.38199,0.38121,4.31554,2226184428.000000,4556381657.000000
62,sobel_sequential,4096,0.4244,0.42435,3.50213,2234268042.000000,4562840638.000000
63,sobel_sequential,4096,0.42478,0.42459,3.51513,2235097920.000000,4560433462.000000
64,sobel_sequential,4096,0.42368,0.42363,3.49273,2227088329.000000,4556408916.000000
65,sobel_sequential,4096,0.33151,0.33142,5.55284,2245395693.000000,4559390165.000000
66,sobel_sequential,4096,0.4235,0.42342,3.63189,2232257124.000000,4560527629.000000
67,sobel_sequential,4096,0.42409,0.424,3.44366,2230510941.000000,4559516969.000000
68,sobel_sequential,4096,0.42483,0.42451,3.51287,2247160960.000000,4558221249.000000
69,sobel_sequential,4096,0.32595,0.32589,5.3167,2239756912.000000,4560376232.000000
70,sobel_sequential,4096,0.32277,0.32268,5.5454,2240764149.000000,4558656923.000000
71,sobel_sequential,4096,0.33031,0.33025,5.1256,2238544676.000000,4556736774.000000
72,sobel_sequential,4096,0.36089,0.36088,4.73601,2239873654.000000,4558551150.000000
73,sobel_sequential,4096,0.42395,0.4239,3.63372,2242802617.000000,4560163889.000000
74,sobel_sequential,4096,0.42361,0.42334,3.52715,2225868852.000000,4560233689.000000
75,sobel_sequential,4096,0.33888,0.33851,4.98772,2234050643.000000,4558214141.000000
76,sobel_sequential,4096,0.32993,0.32979,5.77641,2251808649.000000,4559187013.000000
77,sobel_sequential,4096,0.41661,0.41641,3.80102,2236730477.000000,4556066336.000000
78,sobel_sequential,4096,0.42438,0.42418,3.55047,2229196743.000000,4558817081.000000
79,sobel_sequential,4096,0.42401,0.42392,5.03551,2277872455.000000,4562585594.000000
80,sobel_sequential,8192,1.5785,1.57832,16.59255,9047920845.000000,18254446711.000000
81,sobel_sequential,8192,1.57592,1.57562,16.86635,9128967268.000000,18244050735.000000
82,sobel_sequential,8192,1.52413,1.52208,17.39974,8935231901.000000,18256213279.000000
